"geolocation_zip_code_prefix","geolocation_lat","geolocation_lng","geolocation_city","geolocation_state"
1037.0,-23.54562128115268,-46.63929204800168,"sao paulo","SP"
1046.0,-23.546081127035535,-46.64482029837157,"sao paulo","SP"
1046.0,-23.54612896641469,-46.64295148361138,"sao paulo","SP"
1041.0,-23.5443921648681,-46.63949930627844,"sao paulo","SP"
1035.0,-23.541577961711493,-46.64160722329613,"sao paulo","SP"
1012.0,-23.547762303364266,-46.63536053788448,"são paulo","SP"
1047.0,-23.546273112412678,-46.64122516971552,"sao paulo","SP"
1013.0,-23.546923208436723,-46.6342636964915,"sao paulo","SP"
1029.0,-23.543769055769133,-46.63427784085132,"sao paulo","SP"
1011.0,-23.547639550320632,-46.63603162315495,"sao paulo","SP"
1013.0,-23.547325128224376,-46.63418378613892,"sao paulo","SP"
1032.0,-23.53841810407414,-46.634778375266734,"sao paulo","SP"
1014.0,-23.546435343326205,-46.63383023397196,"sao paulo","SP"
1012.0,-23.548945985189434,-46.63467113292871,"sao paulo","SP"
1037.0,-23.545187340816042,-46.63785524104107,"são paulo","SP"
1046.0,-23.546081127035535,-46.64482029837157,"sao paulo","SP"
1039.0,-23.541883009983316,-46.63991946670314,"sao paulo","SP"
1024.0,-23.541389521053937,-46.629899087812184,"são paulo","SP"
1009.0,-23.54693540437998,-46.63658792659698,"sao paulo","SP"
1046.0,-23.545884279214015,-46.643163191240035,"sao paulo","SP"
1046.0,-23.545165891770928,-46.643785796266464,"sao paulo","SP"
1020.0,-23.55223547100232,-46.6284406588955,"são paulo","SP"
1011.0,-23.546690486964888,-46.635446958807194,"são paulo","SP"
1043.0,-23.546656718016017,-46.64078762115524,"são paulo","SP"
1050.0,-23.549773516504185,-46.64559900666509,"sao paulo","SP"
1045.0,-23.541593762969626,-46.64189378810082,"sao paulo","SP"
1009.0,-23.545429533441073,-46.63571531432852,"sao paulo","SP"
1007.0,-23.550392524842728,-46.637301640717844,"sao paulo","SP"
1032.0,-23.5398418758395,-46.63514797691531,"são paulo","SP"
1041.0,-23.543539449073783,-46.64057731057763,"sao paulo","SP"
1005.0,-23.549819091869107,-46.63560588995324,"sao paulo","SP"
1037.0,-23.546704599774962,-46.64033633250615,"são paulo","SP"
1017.0,-23.55001091199737,-46.63116636914989,"são paulo","SP"
1046.0,-23.54532011933758,-46.64406863434122,"sao paulo","SP"
1019.0,-23.552151883432384,-46.63080224715792,"sao paulo","SP"
1032.0,-23.540774688874112,-46.63551484303775,"sao paulo","SP"
1017.0,-23.5492954052167,-46.63207469510652,"sao paulo","SP"
1050.0,-23.549009406053422,-46.642812281839745,"sao paulo","SP"
1050.0,-23.548755593946588,-46.642789203733535,"sao paulo","SP"
1027.0,-23.538301166801343,-46.63076391104508,"sao paulo","SP"
1050.0,-23.54985418067981,-46.643139396906825,"sao paulo","SP"
1013.0,-23.547119249235397,-46.634232699405686,"sao paulo","SP"
